date,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",KINDRED HOSPITAL HOUSTON MEDICAL CENTER,MEMORIAL HERMANN TEXAS MEDICAL CENTER,ST JOSEPH MEDICAL CENTER,VIBRA HOSPITAL OF HOUSTON,HOUSTON METHODIST WILLOWBROOK HOSPITAL,HCA HOUSTON HEALTHCARE MEDICAL CENTER,KINDRED HOSPITAL HOUSTON NW,CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME,ST LUKE'S HOSPITAL AT THE VINTAGE,MEMORIAL HERMANN HOSPITAL SYSTEM,HOUSTON METHODIST HOSPITAL,HOUSTON METHODIST CLEAR LAKE HOSPITAL,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,HARRIS HEALTH SYSTEM,HCA HOUSTON HEALTHCARE WEST,TOPS SURGICAL SPECIALTY HOSPITAL,TEXAS CHILDRENS HOSPITAL,UNITED MEMORIAL MEDICAL CENTER,HOUSTON METHODIST WEST HOSPITAL,"WOMANS HOSPITAL OF TEXAS,THE",SHRINERS HOSPITALS FOR CHILDREN,TEXAS ORTHOPEDIC HOSPITAL,HCA HOUSTON HEALTHCARE NORTHWEST,TOTAL
7/12/20,51.5,3.333333333,175.5,2,1.666666667,102.5,14.25,2,75.66666667,23.33333333,506.25,246,32.5,107.25,153,75.5,2,21.75,36.5,79.25,12.5,2,0,58.25,1448
7/19/20,30.28571429,0,168.8571429,17.25,11.28571429,61.66666667,12.14285714,0,51.71428571,13.57142857,454,124.6666667,17,101.8571429,165.4,61.57142857,0,11.42857143,26.14285714,35.33333333,5.857142857,0,0,43.85714286,1124.542857
7/26/20,21.14285714,0,158,38.71428571,4,47,10.85714286,0.571428571,46.14285714,11.42857143,374.2857143,131.4285714,15.28571429,86.57142857,155.2857143,38.71428571,0,19.57142857,5.714285714,32.85714286,3,0,0,22.42857143,954.1428571
8/2/20,31.28571429,0,127.2857143,52.28571429,8,73,14,1.428571429,68.14285714,26.42857143,337.2857143,167.4285714,24.42857143,68.28571429,166.5714286,46,0,38.42857143,19.71428571,48.57142857,3.428571429,0,0.285714286,30.14285714,1060.571429
8/9/20,25.42857143,0,106.4285714,35.71428571,7,60.85714286,9.285714286,1.142857143,46.57142857,24,280.4285714,146.7142857,14.28571429,64.71428571,140.1428571,37.42857143,0,33.14285714,12.28571429,39.57142857,2.285714286,0,0.571428571,31.71428571,884.2857143
8/16/20,22,0,87,47,8,46.85714286,8.142857143,1.571428571,37.14285714,16.42857143,237.5714286,103.2857143,17.42857143,54.28571429,125.2857143,30.85714286,0,29.57142857,7.714285714,36,3.285714286,0,0.571428571,18.28571429,727.4285714
8/23/20,26.28571429,0,75.14285714,32.14285714,7.428571429,42,7.428571429,0.857142857,37.57142857,11,182,82.85714286,11.42857143,39.85714286,86.42857143,25.14285714,0,22.28571429,5.142857143,29.57142857,1.142857143,0,0.571428571,13.42857143,556.7142857
8/30/20,23.42857143,0,68.14285714,33.14285714,3.142857143,43,6.428571429,0.857142857,35.71428571,15.14285714,150,77.57142857,8.857142857,34.57142857,83.42857143,21.42857143,0,22.28571429,0,27.71428571,2.714285714,0,0.571428571,16.71428571,504
9/6/20,18.71428571,0,65.57142857,28.85714286,1.571428571,34.28571429,5,1.071428571,23.14285714,16.71428571,124.7142857,78.28571429,9.571428571,28.28571429,66.85714286,15.57142857,0,17.42857143,0,25.42857143,2.142857143,0,0.571428571,9.857142857,424.6428571
9/13/20,19.14285714,0,64.57142857,16.71428571,0.785714286,25.14285714,4.428571429,1.285714286,19.85714286,14,111,60.28571429,8,30.14285714,65.57142857,10.85714286,0,21.85714286,0,24.71428571,2.285714286,0,0.571428571,10.42857143,385.2857143
